"criterion_id","user_weight"
"research_fit_primary",5
"research_fit_secondary",3
"advisor_fit_best",5
"advisor_fit_second",4
"advisor_depth",5
"advisor_personality",4
"mentoring_reputation",4
"faculty_enthusiasm_for_camille",4
"intellectual_community",4
"methods_training",4
"interdisciplinary_opportunities",3
"research_collaboration",3
"flexibility_to_evolve_topic",4
"dissertation_support",5
"teaching_training",3
"labor_vs_training_balance",4
"annual_stipend_value",5
"funding_guarantee_years",5
"fellowship_generosity",4
"additional_fellowship_support",2
"teaching_load_sustainability",4
"summer_funding",3
"travel_research_funding",3
"health_insurance",4
"housing_cost",5
"housing_security",4
"overall_cost_of_living",5
"ability_to_save",4
"financial_stress_risk",5
"administrative_clarity",3
"general_stress_culture",5
"anxiety_fit",5
"workaholism_sustainability",5
"routine_stability",4
"weather_and_daily_quality",2
"access_to_nature",2
"access_to_mental_health_support",4
"overall_emotional_sustainability",5
"faculty_warmth",4
"cohort_collegiality",4
"respect_and_belonging",5
"intimidation_vs_support",5
"transparency_of_expectations",4
"administrative_competence",3
"toxic_competitiveness_risk",5
"ability_to_ask_for_help",4
"placement_strength",5
"prestige_brand",4
"niche_reputation",4
"letter_writer_strength",4
"publication_support",4
"external_network_access",4
"career_optionality",3
"distance_to_support_network",3
"lifestyle_fit",4
"ease_building_community",3
"overall_livability",4
"known_vs_unknown",4
"reliance_on_single_professor",5
"confidence_against_regret",5
"late_offer_process_confidence",3
"switching_cost_acceptance_status",2
"decision_reversibility",2
